text,sentiment
"_15 No, I haven`t seen it yet!  But once it comes out on DVD.. ;) hehe. Haha",positive
 Oh no!  I hope you find your kitten,positive
 oh thank you thank you! Was hoping the video will be online,positive
 probably not. I hate when that happens!,negative
Back from AOT last lec.. Alot of question marks on my head.. But thank God for all the tips.. Should be able to pull tru,positive
" I only came across viva la juicy on fri, no testers only body lotion in the store.... but i defo need to get it asap",neutral
_Kid congrats; im still jobless,neutral
 I use to own a 32 lbs tabby cat. Got him for North Shore Animal league he had diabetes,neutral
I want noms,neutral
Ok so Jeff looks like he has a black eye!!,neutral
 that really sucks - I think I might cry if I skipped over anything important I don`t have. Comps are getting to be disposable,negative
_achillies  Thanks! And yay for being in my guild!,positive
" MANDY!!!  IT WON`T LET ME VOTE  I WANT HER TO WIN BUT I CAN`T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",neutral
" yï¿½n tï¿½m, sang n?m s? th?y **** m?c Tr?n tinh twitter tr? l?i Lï¿½ Thï¿½ng , Th?ch Sanh nh? lï¿½m quiz mï¿½ c??i ???c cï¿½ng chï¿½a",neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
 I know but unfortunately I`m one of the fifteen bazillions of Americans without health insurance.  awesome,neutral
Trying to reorganize plans for tonight uggg  Hopefully it will still be lots `o fun!,positive
 - Have you dissapeared to go on the Ellen Show?,neutral
 tegan and sara fan? follow them ,neutral
"_anekie ok darl, i will suggest you to the MUA (Tracie Weaver), as she`ll be making the decision",neutral
omg...did I just see a tweet from Miss Bonnie??? amazing...my phone died yesterday...and oster has alltel  I miss you,neutral
"Going to be buckling down this week. So, relief for my twitter followers from my inanity. Enjoy my silence.",positive
 haha i love surprises! i don`t work til sunday tho so i have to wait.,positive
Not looking forward to this long trip in the morning. I`m sick,negative
 Will we see you guys in the Philippines?  That would be the coolest thing ever! Always wanted to go to one of your concerts!,positive
 I may be in the US for it in which case I`ll attend but if its off my own back I can`t afford to go,neutral
 You needed to watch the White House Correspondent`s Dinner. That would have cheered you up!,positive
Having Problems With My BlackBerry UGH I need another charged Battery! (@ least 4 now)  ,negative
 *HUGS you*  awwww......i`m sorry you are feeling sad E!,negative
"unhooking my pt`s, then home to SLEEP! SLEEP IS GOOD",positive
" Keep it that long, people can ffwd if they like (now, if you did AAC w/ chapter markers...",neutral
Happy Mother`s Day !,positive
My back hurts...really bad,negative
 tom do u have plans to germany?  answer this for ur germany fas,neutral
I thought there was more Fanta in my can than there was,neutral
"Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7",positive
"_pina_14  Not good!!He wouldnt like his girl flirting with his colleagues,would he?",negative
 dont you think this tour went fast? i do,neutral
_life  Hey i like love iCarly it rocks.   my youtube account--> http://tinyurl.com/cf63ud,positive
im gettin off nd watch a movie nd have a couple of drinks nd shots   ill try 2 get get back on if i can,neutral
_WSt the wheater here in Austria should be bad for the whole weekend. Sorry!,negative
C-News wasn`t as bad as I expected... could have done better... but today we did a great show...,positive
_cohen I am lost. Please help me find a good home.,neutral
 - i can do 'Nana' or 'Nana Rocks' for you in rhinestones & do printed onesies for them 'my nana loves me',neutral
http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,neutral
One is not supposed to have a headache on a Friday. That`s just not right.,negative
Doctor Who has finished,neutral
is having awesome fruits and vegetable juice at the opening of Lam`s noodles at 8  #fb http://tinyurl.com/qnjqx2,positive
junk food and movies in a tshirt and sweats.... the only way tonight would be better is if I had someone to hang with,positive
 i cant do anything,neutral
 thankyooooou,positive
 I broke up with Christian Bale when he played Batman,negative
Up a little.. Good luck to tam and robert who each have 25% of me. Cant text at the table,positive
im nervous :/ i want  to gimme a bear hug,neutral
"Hmm, $25 to see the Decemberists, but I have to go to Raleigh on a work night... or $95 for cheap seats to the Bolshoi? Probably neither",negative
Goin to bed... Finally. So sleepy! *Happy mothers day!*,positive
praying the rosary with my family!,neutral
I have to go to work now.,neutral
 let me know how it goes I`m praying. Ummmph. I still can`t believe it.,positive
 How is she spoilt? She`s like 10? 11? That was hard for her to be put up in front of 14m people.  She`s really young.,negative
wow i just slept till 2pm..again... good job me,positive
"waiting for amy so me, her and  can go see the hannah montanna movie!!!",neutral
Counting the minutes when my dad`s g-friend is leaving,neutral
"I`m a genius  put rug in washing machine, left folding door half open, machine moved now door won`t close or open. shaking head.",neutral
Kyneton for breakfast this morning at Slow Living. Noice. Such a beautiful sunny autumn day  Drove back to Melb via Daylesford,positive
I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,neutral
finished the book... vat a good book <3333,positive
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
" http://twitpic.com/3goxn - yes , everybody love you. i`m a german Fan. Follow me !",positive
More homework.,neutral
is chatting to one of her besties.,neutral
"Right, is too glorious a day to be sat inside....must go and do something more active! Have a good day all",positive
that party was a great time  just got `paranoid` by  as a ringtone! yay,positive
is now going to see his very ill uncle on saturday and the night at his house as even more bad news has come up,negative
 hi thanks for following me. u doing much? been a long time since i last chatted to u,positive
.....headache,negative
 I`m sorry you`re having a bad day   I was just looking back through. Do I need to give someone a knuckle sandwich?,negative
at Shriya`s,neutral
STOOOOPIT! STOOOPIT GIRL!  That used to be my bro`s rendition of 'Stop It girl'.    ,neutral
 Thanks for the info,positive
just woke up to a flat tire,neutral
at school. Rusty just put Oh It Is Love on my ipod. awh,positive
Thanks for pointing out the crucial problems . Both of them have been taken care of  (cc: ),positive
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive
"I must have applied for about 20 jobs every day this week, why won`t one of them contact me???",neutral
They took my property,negative
just had a falling out with nick,negative
waaa the octo drive and i can`t go for it,negative
Happy Mothers day to all the Mom`s on there!!,positive
is gutted to be at work when it is sooo nice outside,negative
 But I`d have to drive  Or get a taxi. Do you have a pool table/jukebox?,neutral
interesting day. good overall,positive
Alright gang. Gotta go park with family for an hour. Back then  Mwahs to yu if you head to bed before then,neutral
Can`t beat all time low.. (: I soooooo want to go to Metro Station..  Your cheap shots wont be able to break bones,negative
Don`t let the sun catch you crying - Oh my.. so cool  http://tinyurl.com/cugy8c,positive
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive
"My tooth is bloody killing, not sure I can wait until next week to get it fixed",neutral
BWAHAHAHAHA! Shut the **** up...  is TOTES following me right now! Who made the account? Made me giggle like a school girl!,neutral
and this stupid wireless wont work downstairs,negative
 Good Morning Rock Star Nurse,positive
 I am so excited you`re touring with FOTC! I had no idea!! I`ll be seeing you tomorrow,positive
I do NOT feel good today,negative
Just got refused a bottle of morgan`s in tesco despite saying helen could verify my age...  shocking... Just left all the shopping! X,negative
 yay Happy Mothers Day to me  Screw burnt breakfast in bed I`ll take some E.  (erniehalter live > http://ustre.am/2VkO),positive
 It`s pretty warm out now! I forgot K was sick though.,neutral
 The bag looks stylish. Congrats!,positive
i love him..i hate him..i loved him yesterday...ill hate him tomorrow....**** im confused,neutral
is having a cuppa and chilling... i lovebank holiday mondays,positive
 Poor you   If I was with you right now; I would probably give you a hug ;D,neutral
 Yeaup. I was gonna tell ya that,neutral
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
how bad has life gotten where u  werecounting on the church50\50 raffle? the answer is real bad,negative
" you can crash, you will just have to drive alone  Besides... I can`t crash, I gotta work! LOL ;)",neutral
Wish I was in Chicago.,positive
"#NHL Not a fan of either team, my head says Detroit, my feet say the Pens my heart doesn`t care   GO KINGS in 2009/2010",neutral
 supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  & want Bruno!,neutral
 OMG i want to go too!  hahaha,positive
 I agree  pre decided I think...,neutral
" By the way, let me know when you want to schedule a round or two. Played highland woods monday. Shot 96.",neutral
Aaggh!! My blackberry curve took a gash in the screen the day AFTER we get invisible shields in stock. Well it`ll be a good advertisement,neutral
 concert please explain? im intrigued,neutral
I truly praise God for my mom-the greatest mother in the world  Happy mother`s day to all of the mothers reading this. Enjoy your day!,positive
"I have test tomorrow but i dont study, then i go very bad",negative
Pinkberry,neutral
 I forgot all of those people,negative
_Rain oh what the hell  way to tell me.,negative
 no probs(: and yeah im still sick. no school today  lol. feel really **** but thats because im dancing lol . thanks,neutral
"I started X-Slimmer at eight this morning, it`s still going  I hate that it always want`s my friggin password.",negative
 Im so very sad that i am at work today and cant win tickets,negative
 awesomeness,positive
it should be.. not a wink >.<,neutral
really really getting excited!,positive
  This has made my night!!  Way too funny!!,positive
"Hurray! 'Summer-time' starts today, meaning I only have to work until 4 pm, instead of 4.30. Until August! Yay!",positive
 Did you see my message mandingo jr.!!..lol. I hope its music i`ll like.,positive
" Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !",neutral
kids  b`day party/picnic  in canazarro park.  The other half `hurts` today,neutral
  Chroma Key coolness ... When are the cumulus seminars going online couldn`t see the live feed here,neutral
"I`m so sleepy now...g`night! HAPPY MOTHER`S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!",positive
"Roast was yummy, I think mum was impressed!!!",positive
"still has half a math worksheet, science WB pages + worksheet, and english to go! feels a sniffle and dry eyes coming along too.",neutral
just got back from my exam... im surely gonna fail...now trying 2 get tickets 4 il divo! someone doesnt want us 2b there!!!,negative
 my your rather random.,neutral
Greg Pritchard was robbed  ii am too gutted for words,negative
"Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY",neutral
"  hey, but you have gal pals here in Phoenix!!!",neutral
Done studying bout the earth,neutral
 IM SOWWIE I WAS A LIL LATE  LOL it looked good though ;),neutral
" Michelle, I slept for 11 hours last night. I`m still stick with this fever.",negative
i hate the bus...any donations toward my car fund?,negative
I think im becoming obsessed with MGMT- kids  <3,positive
"krys: running, mud baths and nice French food in napa w/ jimming",positive
 is a lumberjack  http://twitpic.com/4wqe8,neutral
 Not a prob hun,positive
 Well I *did* put in a good innings...sweared at the brother in law..was in fine form,positive
 so i spoke too soon.... & my weekend may be delayed for like 20 more min  aaaah i gottaaa get outttt of here b4 i lose it,negative
" LOL it`s not the army it`s starfleet, rules are meant to be broken to get the job done. That`s why he gets the medal",negative
"Grilled again for dinner last night for the senior`s final kairos dinner  Had steak, spicy mango sausages, hot wings, grilled vegi, corn!",neutral
T9R8AM booked. im arriving medan on 27th june. 1155hours,neutral
 Did you get to meet Ace Frehley?  Love his guitar playing.  Not sure how coherent a speaker he might/might not be.,neutral
_Rocks Just spurted Fanta out of my mouth laughing at that!,neutral
Excited for today! But still so much to do,positive
My baby has his first busted lip.,negative
learning for school now ...,neutral
"Well, my aunts dog died. I understand how devastated she is. I`ll probably head over there soon for support",negative
i want to see my bud mel  miss hur loads,negative
" One of my good friends in the states has it covered now, but thank you again!",positive
I just got my leavers do dress!!!!,neutral
 Thanks for the mascara input. It`s appreciated.,positive
 7pm? So early. Dat`s 4pm my time.,neutral
  thanks for following!  pretty complicated id you have there lol,neutral
I feel like crying! One of my diamond earrings fell out my ear bc it was loose and I can`t find it. I`ve had them forever,negative
"Omg I want TF2, everybody on my Steam Friends list is playing it",negative
" I jus spoke 2 my lawyer, if I blow trial =3to7",neutral
10 minutes to boarding; 14 hours to home. no window seat,negative
Summer makes me feel ugly  all the pretty people are out showin off their good genes  **** them to hell!!!,neutral
Ohhh Ladyhawke is on channel 4  I sort of have a thing for Rutger Hauer http://twitpic.com/4jbzv,neutral
blastinggg music.,neutral
Wants somebody to cheer her up,positive
 ahh naa i dont like rain  nm really friend is comin over then goin 2 my grans,neutral
" you`re welcome char, glad you liked the cake, it`s pretty simple you should give it a try",positive
 Can`t wait to see you on December in Switzerland for a third rendez-vous  Great show ! You are just amazing  ... Enjoy in OZ,positive
 were gonna go crazy before you leave,neutral
 I`m sorryyyyyy  I`ll be home as fast as possible where we meeting at?,negative
Im wishing that i had the weekend off so i can go to SOL.,positive
 FOR REAL!  Isn`**** exciting!!!!,positive
"Been sick all week and still not feeling so well, can`t go to Lena`s cook-out  Gunna spend some time with the fam!",negative
http://twitpic.com/67k9w - - My besties. If only  was there.,positive
"word is marlon brando gave him 25 cent . . . yeah , tha GODFATHER",neutral
Still awake lol Finished talking to a really good Brawl player. We talking in SmashSpace.ning.com  Join the website if you like SSBB!,positive
" why, hello there  How`s life on the other side of the screen?",neutral
on that note - i do not feel missed.,positive
" Hello!! sounds very good, you can count on me, I follow you!!!",positive
I never thought falling in love can cause so much pain...  good thing that I`m so over that phase!,neutral
I`ve got great expectations of tomorrow  It`s gonna be awesome!! ? http://blip.fm/~5jf53,positive
" oh, coo; i was suppose to be an intern too!  but dangit, SAT. :| so how`s the intern life? haha",neutral
it`s too beautiful to stay inside,positive
" If you`ve jailbroken or went to 3.0 early, prepare to be bricked",negative
people are not twitting very much today,neutral
_01Xx   dont leave us !!! whats up ? ****,neutral
says I`m tutoring my cousin!  http://plurk.com/p/rpp57,neutral
Flypside - When it was good..i must creat my presentation in english  by guys ?,positive
is going to see wolverine and is a lil bit excited,positive
"_McKay2009 sadly no, sitting inside as mobile signal won`t work in the garden   I`ll be opening the wine at bang on 5pm though!",negative
 i know so lame,negative
" I`m the same, don`t panic. Big topman",neutral
"_10k much appreciated!  yeah, it sure is a challenge and a great reward. wouldn`t trade it for anything.",positive
So theres this boy. Hes so cute. Hes got a six pack.  yum it was fun touchin it.,positive
 now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house,neutral
 http://twitpic.com/41dbn - :o I See Your Dog..  Bella..?,neutral
"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can`t find any other shoes!",negative
WAH. i`m gonna miss bowie people  ESP YOU ALYANNA BONDOC <3 and Cesar. D:< I dunno if I can survive without my SOSA!,negative
Last night I had 1/2 a bottle of wine in my house and 2 cocktails. Came home sober but still gonna be sick,negative
" you work really hard so, sometimes you need a break, haha.  so, yeah...just let me know if you need help in anythin`.",positive
so so tired..,neutral
"http://bit.ly/5e7dr  this is cool, van helden.",positive
  i get migranes.. so .. that leaves you to either arthritis and/or gout!,negative
 and no I didn`t burn the eggs.  We had a blast and the food was great all weekend. We had an awesome carne asada too.,positive
Nvd i was sitting on it,neutral
My sunburn itches  ouch,negative
Had a good end to a busy day and now I`m off to bed with a full belly of sushi,positive
"Cool music collection, can be used for non-intrusive background music - music from keygens!   http://www.keygenmusic.net",positive
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,negative
"Also, anyone else hayfevery today??? I`ve only been awake for 40mins and sufferin already",negative
just made DIY acid wash shorts! can`t wait to see what they look like,neutral
 thank you for reading Ohlala,positive
Getting ready to ship a care package to the daughter. She`s not coming home this summer from college,neutral
Chocolate milk is so much better through a straw. I lack said straw,positive
" Haha dude, we have the same b-date :p I`ll wish u ur b-day the 3oth November. I`ll also turn 16  Can u reply to me please ?",positive
 Check this video out -- ScriptGirl Report 05.08.09 http://bit.ly/hclXP ... I can officially now survive the weekend,neutral
 I do too!! Sounds interesting,positive
NEW STRIPEY TOP DAY!,neutral
 Why?,neutral
 I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher,neutral
guess im staying home tonight...no movie-ing for me,neutral
I can`t sleep ugh!! and I have **** to do all **** day tomorrow. Wanting to take a sleeping pill but I know Ill get up late,negative
 there coming this year ^-^  wiL said it himself  but yes now would be good.,positive
never expected to hear Beastie Boys in a Star Trek movie... was a super great flick though. *pew peww* -- (phasers),positive
Mr amp over heated,neutral
drinking lemsip cause apaently i need ittt! IM NOT SICK,neutral
 That sounds good,positive
Madly in love with The Row..wishing i had money,positive
I think I`m going to go outside and have a very John Cage moment   Music majors rejoice!,positive
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
" and yet i couldnt get a pic it wasnt allowed, then i won passes to their carpet of the 3d premiere no pic still wit them",positive
Moment of truth!! Im nervous for her!,neutral
The ultimate shirt folding tool (http://www.flipfold.com/)- I saw  using this in one of Big Bang Theory`s episodes,positive
 u were doing good with the replys now u fallin off sad face,negative
 yeah I know. I need to get back into twittering. Just haven`t felt it.  but yes. Thank god for txtin. I would miss ya more,neutral
"happy mother`s day, mommy! hope you will have a good day",positive
totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.,neutral
" that`s cool, I`d be happy to contribute to any future articles. Enjoy the rest of the weekend",positive
is off 2 bed. gon force the sandman 2 com do wot he do since it dont look like there`s gon be any partyin 2nyt,neutral
" I know. I think I`m going to have to miss it, though.  This is when sacrificing money for job happiness sucks ****.",negative
" yeah, I also had to do a paper.. I only have one more final left: algebra.. & I take it on my birthday!!   (june 3)",neutral
Congrats 'Mine That Bird' for being an underdog and kicking the **** out of all the other runners yesterday. I love seeing that happen.,positive
" Unfortunately, I didn`t do it on purpose - itunes shuffle did it. It followed up with Dreadzone, so no life-ruin music-trauma.",negative
" Nah, could use a hug or three, but even that option is 2,000 miles away!",neutral
I love the sunshine and the happiness it brings,positive
is up for lots of revision today and then out toniight,neutral
Just saw a fox!  as i was getting on the freeway... I hope it goes home,positive
loving life lately!!!!  Looking forward to going to see Samantha! Hanging out with Natalie right now!,positive
looking forward to Ben`s baseball game tonight,neutral
Had a good day 2day!  off to bed. Nite tweeps.,positive
 revising as uni exams are looming,negative
 And what`s your blog entry about?,neutral
is way too sleepy to be awake,neutral
TGIF... this 'short' week has been wayyyyyy too long,negative
**** i have something to say and no one is listening,negative
 Hahahahahahahahahah! That tickled me so much!,positive
Been so busy for the entire week. Be able to take a breath next Tuesday,neutral
ohay clean teeth,positive
"My three-day weekend starts now.  Was gonna watch Star Trek, but opted to go another night instead.",neutral
  *hugs*,neutral
I`m always hungry all the time but now I don`t even feel like eating. This is not normal...and my throat`s sore. I`m sick,negative
on our way home,neutral
"_oliver No Happy Mums day for the Mums, only the guys????",negative
HAPPY MOTHERS DAY TO ALL THE MOMMIES,positive
 this is a travesty,negative
Migraine is fighting its way back from last night.,negative
"jus woke up, late  runnin to work have students to train!",neutral
 i was at the outlets too,neutral
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,neutral
. Awesome!  what kind?,positive
Guten Morgen/ Good Morning/,positive
i need some serious cheering up,negative
  And it`s only downhill from now until Labor Day!,negative
I wanna go see the cab really bad.,negative
" Not sure if this is good or bad news for you, but you are listed as staff: http://www.thesixthaxis.com/staff/",neutral
God i`m so sleepy today I can barely focus,negative
"3 days left of school!  For Bryce and Tyler, that`s 3 more days of elementary",positive
why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,negative
 aww you poor thing  hope all goes well!,negative
AHHHH my keyboards getting worse :/ my BDAY`s in 1 more day,negative
" now I know why it didn`t work, just not too keen on paying though for a 2ndary social network",neutral
 and the grease drip pan doubles as a butter dish (in a pinch),neutral
"just camee back from bowling, which i offiacial suck at",negative
 I keep trying to talk myself out of Australia by thinking of the jet lag  So far it isn`t working... I still want to go!,neutral
to atl in the morning then back to Clemson,neutral
" Awww  that`s no fun, did you take something?",negative
I dont care what kind of graphics or engines video games have nowadays. They are nothing compared to The Oregon Trail and Carmen Sandiego,neutral
 Great to meet you! Thanks for the use of your umbrella...I hope you ate and got some sleep!,positive
"such a long day, heading to bed  . iloveyou <3",positive
Coffee time  be back later kisses*,neutral
 thanks   got a hold of someone there who knew their stuff..at last!,positive
 I think I left my conference feedback sheet in my bag. Oops. Just say Excellent for everything  Found out about it from you,positive
"twitter wont change anything  TWITTER, WHAT THE HECK IS WRONG WITH YOU???!!",negative
 Just ignore it.....and get sum rest...get rid of that headache,positive
Morning workout sesh.  Love Life.,positive
Fuuudge. Movie store is closed,neutral
" I saw them at a show a few weeks ago.  Hate to say I was not all that impressed    fun. and AS were good, though.",negative
" Well there`s you, another Twiiter person...erm...difficult to say really...   Let`s just say that you could fit all into a minibus!",negative
Packing...,neutral
 ohwwww  whatever I`m excited anyway.,positive
If you save these pix from the Today show please credit www.wireimage.com Thanks,positive
"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",positive
watching Bolt with my brothers and my mom.,neutral
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
"() OMG SHUT UP!!! (sorry. still venting at that person who`s annoying me. It`s none of you, I swear  )",negative
 u wack put a swimsuit on and regular pants at least,neutral
 yeah i work 7 days,neutral
 gasp!!! I love it!!! Thank you so much for sharing Tim!!,positive
" hope you have a great weekend,Paris",positive
alrightttt twitter. i have netball nowww  this is my 600th twitter haha  byeeeee,neutral
 oh cool you are coming to berlin    ! ! !,positive
"Omg, little kids with cancer is the saddest thing ever",negative
"Grilled chicken, broccolli, and water.  Yummy and healthy. Well until I put butter on my veggies but whatever",positive
Omg. i love my parents i juss got a lavender camera as an early birthday present!!!,positive
" It isn`t easy!  Be there for support, it is the best thing you can do is offer your love & support! Lost both of mine early",neutral
" good **** homie, hahahahaha thats what im talkin about  ;)",positive
" --sorry for running over uncle Terry, but he just wasn`t living up to his potential. expecting more from his next return.",negative
Reese`s pieces ily,positive
_Kate i know its heaps awesome. if your not working all weekend,positive
green computing http://bit.ly/8gb8R,neutral
 Morning! Are u back in blighty Bill? Hope u had a lovely time away,positive
"I hate mondays, but I love `s schedule. HELLO, DIGG REEL!",neutral
 hey handsome!  I`m packing,positive
"Allianz interview went well, got a rejection from MOD though  .... going to be a long weekend as I hear from Allianz on Monday",positive
im cold  i still cant find my hoodie,negative
 Yeah,neutral
"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",positive
 Bummer   was going to try and make it/ other commitments I`m afraid got into the way.  Next time hopefully-,neutral
" yes DON`T FORGET the koala pics   I`m pubquizzing tonight in the 11e if you`re back in time. Sinon, mardi?",neutral
" aha, so that`s you.  I`ve been meaning to take a look. Looks cool. If you could just get a pool in there",positive
Is @ the pantry,neutral
heading to Sam Adams Brewery... but can`t sample it when I get there,negative
time for bed up in 6 hours,neutral
 No twitpic?  lol,neutral
 yeah those are better ads  It makes them look part of your content rather than blatant adverts ;),positive
 buy me a taco! haha. i don`t want to stand in line,neutral
Sick kid trumps advance planning.  Bummer,negative
 well that does make me feel better about staying up even later to watch the daily show.   lay on the guilt again.,neutral
is working.   I am so happy my job is a radio and not anything physically exhausting....,positive
wishes it wasn`t a bank holiday so he could be on the radio this afternoon... but at least he has another week to come up with some ideas,neutral
" episode 17 season 1, i love chuck bass.  who`s going to the short stack filming next sat? Im making a flag. ;D",positive
"  Guys, nothing is free in life. Where is my shidduch money?",neutral
ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,neutral
 yeah the weather ruined my plans too  i was gonna beach it up as well,negative
My apologies for the very impersonal #FF. Swamped today  All great people and great follows though. You can`t go wrong with those folks!,neutral
" belay the swimsuit, hot tub won`t be ready this weekend.  sadness",negative
we are looking forward to daddy returning from work on Saturday. He`s been gone a whole month,positive
heading to work,neutral
"_shantz heyy shantell!  twitter is cool, thats why! and guess what!! i followed britney spears, and she followed me back!",positive
 College cops: they get suspicious when they see more than one person in a group together.,neutral
Hey hey get tickets to ALL TIME LOW when they`re in Aussie kay. www.myspace.com/destroyalllines Yup. Go there get tickets,neutral
http://tr.im/kXCL `Immigrant hid passport in pants` What a genius.,positive
 ay buti pa kayo!!!! uy thank you!!,positive
And I just saw something real sad on my lunch... A dog with two broken back legs.,negative
_tifullyTragic ... in London last night so give it a few hours & I`m sure a few will appear,neutral
i lost a follower,negative
its almost lunch time for you,neutral
 heard of. And you`re the first to mention him to me!,neutral
 i dont think you can vote anymore! i tried,negative
" Lol. Thanks, Penny. I`m trying to believe you.",positive
"today is maintenance day for me, my flat and my blog...yeahhhh a lot of little works",neutral
Making a birthday song to a special person!!,neutral
I wish I could go back to bed with ,positive
Worried about the reply after sending THE SMS to 78277.,negative
...And omg whats this dirty letter from Danny everyones been on about? Its absolutely none of my business but I still feel left out lol,negative
Feeling much better  Doing History Research.,positive
Off to prom. Say hi to me,neutral
Just paid my bills now I have no money,negative
" unfort, i can`t DM you b/c ur not following me",neutral
" I know, I stink at birthdays  sorry bra, hope you`re having fun anyhow, in spite of me!",neutral
 Thanks hon!! Project Bra starts today!,positive
Okay so I`m trying to be happy and deal with my problems and my friends` also. Its hard,negative
"i feel extra-nauseous all of a sudden, like my stomach wasn`t ready to resume peristalsis after the events of two nights prior",negative
" He died.  Wait, what about Magic Jack? I just read it.",neutral
" Toooooom! Do a tour in the Philippines, pleeease?  I`m risking my health to get your reply. Haha!",negative
**** elora danan are breaking up  too and im missing their last nsw show too  def need to hit up melbs !! someone come with ?,negative
": Yeah, I fell asleep  I`m sorry. No way in the world I was waking up @ 7am lol. I had to work @ 9am.",negative
 My sister is graduating too & I can`t afford to buy here anything,negative
 what do you mean jorx?,neutral
 very familiar.....sorry you`re feeling that way,negative
"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON`T QUIT! It`s not worth it",neutral
"I can`t have any pets in the appartment I really want, so no rat yet.",negative
why does my body decide NOW is a good time to wake up every morning at 8?! Maybe Dean will wait for me in my dreams...,positive
" have a great night, it was so nice meeting you last night! You are a sweetheart!  xoxoxo bye for now.",positive
Off to England during the summer holidays this year.... yay!,positive
" Don`t worry, you spelt `NO` correctly! It just looks wrong",neutral
 haha kk tell me when u remember,neutral
 hahah I`ll try,neutral
 haha calm down. Youll get ur shades. I`m still sick tho. So I`ll prolly knockout after,negative
wheelchair fitting today for mall buzzing & Home Depot. 'Homebound' just got REAL old  Goal: taxi yellow or electric RED!,neutral
is back from a weekend get away,neutral
happy mother`s day! everyone have a great day and make sure you go see ya mommas,positive
is at cindy babys house......taking in these last fridays we have together  DR!!! i hope,positive
  ive got a cold too... It sucks  and u were awesome in ipswitch xD,neutral
 thanx 4 thee follow,positive
 ah helping my friend move and will defo be having a well deserved pint after it that`s for sure,positive
" Thanks dear, I know this, but I appreciate the validation as always",positive
 thanks! I will try #boarding out,neutral
Laying with lyndi on drive way. Drinking tea. Listenin to music. Takin pictures. Just a Chillin.,positive
"Finally back in bed with my puppies after a LONG week in Jamaica. loved it, but lve to be home too!! Night",positive
finally seventeen,neutral
 it`s definitely worth it; art not withstanding  I hate moving; and hate packing even more..,negative
 Awww  You`ll Be Fine...,positive
 that sucks.,negative
Oh no... that bird is back,negative
an aston os my dream car but its wishful thinking,neutral
_fisher Hey!! How are u??did u got my reply??,neutral
 thanks for sharing,positive
 My lil` old Mac did the same thing...and it was never to charge again.,negative
 agreed,neutral
 aww  that`s horrible! xD,negative
Dancing was alright todayy still doing Jai Ho!!,positive
 thx girl! I just now woke up! I cnt believe I`m sick!! Now I have a fever... Wish I could pound nyquil  This sucks.,negative
"white pointy shoes haha, and ah you got me excited about the new drummer  youre mean",neutral
 dad`s been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,negative
I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it`s bad?,positive
Date movie with Nate. Most likely Wolverine.,neutral
"Yes! Cold coffee from yesterday. No sugar, no cream !  The way I like it !",positive
Blogging-- http://13tolife.us/ Mentioning links to contests where you might just win a free book or two!,neutral
"feeling lonely,DH on night shift all w/e",negative
" it`s an awesome book, can`t wait for the film - enjoy and don`t be scared  x",positive
I`m still pumped from the concert saturday. 17/7/09 here i come,negative
first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,negative
listening to some brandy...never say never cd,neutral
" been there, done that",neutral
bed rest for all weekend and next week  neomonia suck,negative
